APN,Minority_Owned,Female_Owned,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
ZZZZZZZZZZZZZ,,,BL-015378,CONSTRUCTION,Construction or Contractor,CAL SUMMIT BUILDERS,236118 - Residential Remodelers,C,3,Corporation,,PO BOX 2961,,SAN RAFAEL,CA,94912-2961,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,No,BL-000351,GENERAL CONTRACTOR,Construction or Contractor,XL CONSTRUCTION CORPORATION,238110 - Poured Concrete Foundation and Structure Contractors,C,10,Corporation,,851 BUCKEYE CT,,MILPITAS,CA,95035-7408,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-015043,CONSTRUCTION CONTRACTOR,Construction or Contractor,KEYSTONE CONSTRUCTION GROUP INC,236118 - Residential Remodelers,C,1,Corporation,,1883 W ROYAL HUNTE DR STE 200A,,CEDAR CITY,UT,84720-4000,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, UT 94704"
ZZZZZZZZZZZZZ,,,BL-014206,FRAMING & CONCRETE,Construction or Contractor,GOLDEN STATE CONSTRUCTION & FRAMING INC,238130 - Framing Contractors,C,5,Corporation,,1240 N 9TH ST STE N3,,MODESTO,CA,95350-4725,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,Yes,No,BL-034319,PLUMBING CONTRACTOR,Construction or Contractor,DIABLO PLUMBING INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,3,Corporation,,P.O. BOX 10446,,PLEASANTON,CA,94588,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,No,BL-003659,ART - STREET VENDOR,Street Vendors,CHRONIC ARTS,,,1,Sole Ownership,,2612 REGENT ST,,BERKELEY,CA,94704-3315,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,Yes,BL-000376,ROOFING,Construction or Contractor,MASTER ROOFING SYSTEMS INC,238160 - Roofing Contractors,C,5,Corporation,MASTER ROOFING SYSTEMS INC,553 WILSON AVE,,NOVATO,CA,94947-3821,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-052074,TRANSLATION/INTERPRETING,Professional SemiProfessional,PARTNERS IN COMMUNICATION LLC,541930 - Translation and Interpretation Services,P,10,LLC,PARTNERS IN COMMUNICATION LLC,2370 MARKET ST STE 277,,SAN FRANCISCO,CA,94114,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-016163,"RESIDENTIAL/COMMERCIAL DEBRIS REMOVAL, GARAGE CLEAN OUT, AYARD DEBRIS REMOVAL, LOCAL MOVING",Recycling,RK HAULING LLC,,RC,2,LLC,,1423 BROADWAY STE 562,,OAKLAND,CA,94612-2054,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-048620,GENERAL CONTRACTOR,Construction or Contractor,"ARJ AND SON CONSTRUCTION, INC",236118 - Residential Remodelers,C,2,Corporation,,1889 W LOUISE AVE,,MANTECA,CA,95337-8376,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
